"Group","Year","Value","Scale","Stdev"
"toothed_whales",1972,NA,1.87581363416382e-06,NA
"gray_whales",1972,NA,1.87581363416382e-06,NA
"baleen_whales",1972,NA,1.87581363416382e-06,NA
"pinnipeds",1972,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1972,NA,1.87581363416382e-06,NA
"nf_seal_juv",1972,NA,1.87581363416382e-06,NA
"nf_seal_adu",1972,NA,1.87581363416382e-06,NA
"ice_seals",1972,NA,1.87581363416382e-06,NA
"oth_birds",1972,NA,1.87581363416382e-06,NA
"murres_puffins",1972,NA,1.87581363416382e-06,NA
"kittiwakes",1972,NA,1.87581363416382e-06,NA
"auklets",1972,NA,1.87581363416382e-06,NA
"fulmars",1972,NA,1.87581363416382e-06,NA
"albatross",1972,NA,1.87581363416382e-06,NA
"sharks",1972,NA,1.87581363416382e-06,NA
"pollock_juv",1972,NA,1.87581363416382e-06,NA
"pollock_adu",1972,1874534,1.87581363416382e-06,187453.4
"pcod_juv",1972,NA,1.87581363416382e-06,NA
"pcod_adu",1972,42905,1.87581363416382e-06,4290.5
"herring",1972,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1972,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1972,NA,1.87581363416382e-06,NA
"kamchatka",1972,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1972,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1972,NA,1.87581363416382e-06,NA
"halibut_juv",1972,NA,1.87581363416382e-06,NA
"halibut_adu",1972,NA,1.87581363416382e-06,NA
"yf_sole",1972,47856,1.87581363416382e-06,4785.6
"fh_sole",1972,NA,1.87581363416382e-06,NA
"nr_sole",1972,NA,1.87581363416382e-06,NA
"ak_plaice",1972,NA,1.87581363416382e-06,NA
"oth_flatfish",1972,NA,1.87581363416382e-06,NA
"ak_skate",1972,NA,1.87581363416382e-06,NA
"oth_skate",1972,NA,1.87581363416382e-06,NA
"sablefish_juv",1972,NA,1.87581363416382e-06,NA
"sablefish_adu",1972,12758,1.87581363416382e-06,1275.8
"eelpouts",1972,NA,1.87581363416382e-06,NA
"deep_demersals",1972,NA,1.87581363416382e-06,NA
"pac_ocean_perch",1972,NA,1.87581363416382e-06,NA
"oth_rockfish",1972,NA,1.87581363416382e-06,NA
"north_rockfish",1972,NA,1.87581363416382e-06,NA
"shortraker_rock",1972,NA,1.87581363416382e-06,NA
"rougheye_rock",1972,NA,1.87581363416382e-06,NA
"atka",1972,NA,1.87581363416382e-06,NA
"shallow_demersals",1972,NA,1.87581363416382e-06,NA
"lg_sculpins",1972,NA,1.87581363416382e-06,NA
"octopus",1972,NA,1.87581363416382e-06,NA
"squids",1972,NA,1.87581363416382e-06,NA
"salmon_returning",1972,NA,1.87581363416382e-06,NA
"salmon_smolts",1972,NA,1.87581363416382e-06,NA
"mycto_bathy",1972,NA,1.87581363416382e-06,NA
"capelin",1972,NA,1.87581363416382e-06,NA
"sandlance",1972,NA,1.87581363416382e-06,NA
"oth_forage",1972,NA,1.87581363416382e-06,NA
"bairdi",1972,NA,1.87581363416382e-06,NA
"king_crabs",1972,12004.3,1.87581363416382e-06,1200.43
"opilio",1972,NA,1.87581363416382e-06,NA
"pandalid",1972,NA,1.87581363416382e-06,NA
"ben_zooplankton",1972,NA,1.87581363416382e-06,NA
"snails_sea_stars",1972,NA,1.87581363416382e-06,NA
"herb_echinoderms",1972,NA,1.87581363416382e-06,NA
"misc_crabs",1972,NA,1.87581363416382e-06,NA
"structural_epifauna",1972,NA,1.87581363416382e-06,NA
"infauna",1972,NA,1.87581363416382e-06,NA
"jellyfish",1972,NA,1.87581363416382e-06,NA
"pel_zooplankton",1972,NA,1.87581363416382e-06,NA
"euphausiids",1972,NA,1.87581363416382e-06,NA
"copepods",1972,NA,1.87581363416382e-06,NA
"pelagic_microbes",1972,NA,1.87581363416382e-06,NA
"benthic_microbes",1972,NA,1.87581363416382e-06,NA
"lg_phytoplankton",1972,NA,1.87581363416382e-06,NA
"sm_phytoplankton",1972,NA,1.87581363416382e-06,NA
"discards_offal",1972,NA,1.87581363416382e-06,NA
"pelagic_detritus",1972,NA,1.87581363416382e-06,NA
"benthic_detritus",1972,NA,1.87581363416382e-06,NA
"outside",1973,NA,1.87581363416382e-06,NA
"transient_killers",1973,NA,1.87581363416382e-06,NA
"toothed_whales",1973,NA,1.87581363416382e-06,NA
"gray_whales",1973,NA,1.87581363416382e-06,NA
"baleen_whales",1973,NA,1.87581363416382e-06,NA
"pinnipeds",1973,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1973,NA,1.87581363416382e-06,NA
"nf_seal_juv",1973,NA,1.87581363416382e-06,NA
"nf_seal_adu",1973,NA,1.87581363416382e-06,NA
"ice_seals",1973,NA,1.87581363416382e-06,NA
"oth_birds",1973,NA,1.87581363416382e-06,NA
"murres_puffins",1973,NA,1.87581363416382e-06,NA
"kittiwakes",1973,NA,1.87581363416382e-06,NA
"auklets",1973,NA,1.87581363416382e-06,NA
"fulmars",1973,NA,1.87581363416382e-06,NA
"albatross",1973,NA,1.87581363416382e-06,NA
"sharks",1973,NA,1.87581363416382e-06,NA
"pollock_juv",1973,NA,1.87581363416382e-06,NA
"pollock_adu",1973,1758919,1.87581363416382e-06,175891.9
"pcod_juv",1973,NA,1.87581363416382e-06,NA
"pcod_adu",1973,53386,1.87581363416382e-06,5338.6
"herring",1973,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1973,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1973,NA,1.87581363416382e-06,NA
"kamchatka",1973,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1973,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1973,NA,1.87581363416382e-06,NA
"halibut_juv",1973,NA,1.87581363416382e-06,NA
"halibut_adu",1973,NA,1.87581363416382e-06,NA
"yf_sole",1973,78240,1.87581363416382e-06,7824
"fh_sole",1973,NA,1.87581363416382e-06,NA
"nr_sole",1973,NA,1.87581363416382e-06,NA
"ak_plaice",1973,NA,1.87581363416382e-06,NA
"oth_flatfish",1973,NA,1.87581363416382e-06,NA
"ak_skate",1973,NA,1.87581363416382e-06,NA
"oth_skate",1973,NA,1.87581363416382e-06,NA
"sablefish_juv",1973,NA,1.87581363416382e-06,NA
"sablefish_adu",1973,5957,1.87581363416382e-06,595.7
"eelpouts",1973,NA,1.87581363416382e-06,NA
"deep_demersals",1973,NA,1.87581363416382e-06,NA
"pac_ocean_perch",1973,NA,1.87581363416382e-06,NA
"oth_rockfish",1973,NA,1.87581363416382e-06,NA
"north_rockfish",1973,NA,1.87581363416382e-06,NA
"shortraker_rock",1973,NA,1.87581363416382e-06,NA
"rougheye_rock",1973,NA,1.87581363416382e-06,NA
"atka",1973,NA,1.87581363416382e-06,NA
"shallow_demersals",1973,NA,1.87581363416382e-06,NA
"lg_sculpins",1973,NA,1.87581363416382e-06,NA
"octopus",1973,NA,1.87581363416382e-06,NA
"squids",1973,NA,1.87581363416382e-06,NA
"salmon_returning",1973,NA,1.87581363416382e-06,NA
"salmon_smolts",1973,NA,1.87581363416382e-06,NA
"mycto_bathy",1973,NA,1.87581363416382e-06,NA
"capelin",1973,NA,1.87581363416382e-06,NA
"sandlance",1973,NA,1.87581363416382e-06,NA
"oth_forage",1973,NA,1.87581363416382e-06,NA
"bairdi",1973,27218.4,1.87581363416382e-06,2721.84
"king_crabs",1973,12890.2,1.87581363416382e-06,1289.02
"opilio",1973,NA,1.87581363416382e-06,NA
"pandalid",1973,NA,1.87581363416382e-06,NA
"ben_zooplankton",1973,NA,1.87581363416382e-06,NA
"snails_sea_stars",1973,NA,1.87581363416382e-06,NA
"herb_echinoderms",1973,NA,1.87581363416382e-06,NA
"misc_crabs",1973,NA,1.87581363416382e-06,NA
"structural_epifauna",1973,NA,1.87581363416382e-06,NA
"infauna",1973,NA,1.87581363416382e-06,NA
"jellyfish",1973,NA,1.87581363416382e-06,NA
"pel_zooplankton",1973,NA,1.87581363416382e-06,NA
"euphausiids",1973,NA,1.87581363416382e-06,NA
"copepods",1973,NA,1.87581363416382e-06,NA
"pelagic_microbes",1973,NA,1.87581363416382e-06,NA
"benthic_microbes",1973,NA,1.87581363416382e-06,NA
"lg_phytoplankton",1973,NA,1.87581363416382e-06,NA
"sm_phytoplankton",1973,NA,1.87581363416382e-06,NA
"discards_offal",1973,NA,1.87581363416382e-06,NA
"pelagic_detritus",1973,NA,1.87581363416382e-06,NA
"benthic_detritus",1973,NA,1.87581363416382e-06,NA
"outside",1974,NA,1.87581363416382e-06,NA
"transient_killers",1974,NA,1.87581363416382e-06,NA
"toothed_whales",1974,NA,1.87581363416382e-06,NA
"gray_whales",1974,NA,1.87581363416382e-06,NA
"baleen_whales",1974,NA,1.87581363416382e-06,NA
"pinnipeds",1974,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1974,NA,1.87581363416382e-06,NA
"nf_seal_juv",1974,NA,1.87581363416382e-06,NA
"nf_seal_adu",1974,NA,1.87581363416382e-06,NA
"ice_seals",1974,NA,1.87581363416382e-06,NA
"oth_birds",1974,NA,1.87581363416382e-06,NA
"murres_puffins",1974,NA,1.87581363416382e-06,NA
"kittiwakes",1974,NA,1.87581363416382e-06,NA
"auklets",1974,NA,1.87581363416382e-06,NA
"fulmars",1974,NA,1.87581363416382e-06,NA
"albatross",1974,NA,1.87581363416382e-06,NA
"sharks",1974,NA,1.87581363416382e-06,NA
"pollock_juv",1974,NA,1.87581363416382e-06,NA
"pollock_adu",1974,1588390,1.87581363416382e-06,158839
"pcod_juv",1974,NA,1.87581363416382e-06,NA
"pcod_adu",1974,62462,1.87581363416382e-06,6246.2
"herring",1974,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1974,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1974,NA,1.87581363416382e-06,NA
"kamchatka",1974,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1974,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1974,NA,1.87581363416382e-06,NA
"halibut_juv",1974,NA,1.87581363416382e-06,NA
"halibut_adu",1974,NA,1.87581363416382e-06,NA
"yf_sole",1974,42235,1.87581363416382e-06,4223.5
"fh_sole",1974,NA,1.87581363416382e-06,NA
"nr_sole",1974,NA,1.87581363416382e-06,NA
"ak_plaice",1974,NA,1.87581363416382e-06,NA
"oth_flatfish",1974,NA,1.87581363416382e-06,NA
"ak_skate",1974,NA,1.87581363416382e-06,NA
"oth_skate",1974,NA,1.87581363416382e-06,NA
"sablefish_juv",1974,NA,1.87581363416382e-06,NA
"sablefish_adu",1974,4258,1.87581363416382e-06,425.8
"eelpouts",1974,NA,1.87581363416382e-06,NA
"deep_demersals",1974,NA,1.87581363416382e-06,NA
"pac_ocean_perch",1974,NA,1.87581363416382e-06,NA
"oth_rockfish",1974,NA,1.87581363416382e-06,NA
"north_rockfish",1974,NA,1.87581363416382e-06,NA
"shortraker_rock",1974,NA,1.87581363416382e-06,NA
"rougheye_rock",1974,NA,1.87581363416382e-06,NA
"atka",1974,NA,1.87581363416382e-06,NA
"shallow_demersals",1974,NA,1.87581363416382e-06,NA
"lg_sculpins",1974,NA,1.87581363416382e-06,NA
"octopus",1974,NA,1.87581363416382e-06,NA
"squids",1974,NA,1.87581363416382e-06,NA
"salmon_returning",1974,NA,1.87581363416382e-06,NA
"salmon_smolts",1974,NA,1.87581363416382e-06,NA
"mycto_bathy",1974,NA,1.87581363416382e-06,NA
"capelin",1974,NA,1.87581363416382e-06,NA
"sandlance",1974,NA,1.87581363416382e-06,NA
"oth_forage",1974,NA,1.87581363416382e-06,NA
"bairdi",1974,34918.9,1.87581363416382e-06,3491.89
"king_crabs",1974,22611.6,1.87581363416382e-06,2261.16
"opilio",1974,NA,1.87581363416382e-06,NA
"pandalid",1974,NA,1.87581363416382e-06,NA
"ben_zooplankton",1974,NA,1.87581363416382e-06,NA
"snails_sea_stars",1974,NA,1.87581363416382e-06,NA
"herb_echinoderms",1974,NA,1.87581363416382e-06,NA
"misc_crabs",1974,NA,1.87581363416382e-06,NA
"structural_epifauna",1974,NA,1.87581363416382e-06,NA
"infauna",1974,NA,1.87581363416382e-06,NA
"jellyfish",1974,NA,1.87581363416382e-06,NA
"pel_zooplankton",1974,NA,1.87581363416382e-06,NA
"euphausiids",1974,NA,1.87581363416382e-06,NA
"copepods",1974,NA,1.87581363416382e-06,NA
"pelagic_microbes",1974,NA,1.87581363416382e-06,NA
"benthic_microbes",1974,NA,1.87581363416382e-06,NA
"lg_phytoplankton",1974,NA,1.87581363416382e-06,NA
"sm_phytoplankton",1974,NA,1.87581363416382e-06,NA
"discards_offal",1974,NA,1.87581363416382e-06,NA
"pelagic_detritus",1974,NA,1.87581363416382e-06,NA
"benthic_detritus",1974,NA,1.87581363416382e-06,NA
"outside",1975,NA,1.87581363416382e-06,NA
"transient_killers",1975,NA,1.87581363416382e-06,NA
"toothed_whales",1975,NA,1.87581363416382e-06,NA
"gray_whales",1975,NA,1.87581363416382e-06,NA
"baleen_whales",1975,NA,1.87581363416382e-06,NA
"pinnipeds",1975,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1975,NA,1.87581363416382e-06,NA
"nf_seal_juv",1975,NA,1.87581363416382e-06,NA
"nf_seal_adu",1975,NA,1.87581363416382e-06,NA
"ice_seals",1975,NA,1.87581363416382e-06,NA
"oth_birds",1975,NA,1.87581363416382e-06,NA
"murres_puffins",1975,NA,1.87581363416382e-06,NA
"kittiwakes",1975,NA,1.87581363416382e-06,NA
"auklets",1975,NA,1.87581363416382e-06,NA
"fulmars",1975,NA,1.87581363416382e-06,NA
"albatross",1975,NA,1.87581363416382e-06,NA
"sharks",1975,NA,1.87581363416382e-06,NA
"pollock_juv",1975,NA,1.87581363416382e-06,NA
"pollock_adu",1975,1356736,1.87581363416382e-06,135673.6
"pcod_juv",1975,NA,1.87581363416382e-06,NA
"pcod_adu",1975,51551,1.87581363416382e-06,5155.1
"herring",1975,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1975,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1975,NA,1.87581363416382e-06,NA
"kamchatka",1975,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1975,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1975,NA,1.87581363416382e-06,NA
"halibut_juv",1975,NA,1.87581363416382e-06,NA
"halibut_adu",1975,NA,1.87581363416382e-06,NA
"yf_sole",1975,64690,1.87581363416382e-06,6469
"fh_sole",1975,NA,1.87581363416382e-06,NA
"nr_sole",1975,NA,1.87581363416382e-06,NA
"ak_plaice",1975,NA,1.87581363416382e-06,NA
"oth_flatfish",1975,NA,1.87581363416382e-06,NA
"ak_skate",1975,NA,1.87581363416382e-06,NA
"oth_skate",1975,NA,1.87581363416382e-06,NA
"sablefish_juv",1975,NA,1.87581363416382e-06,NA
"sablefish_adu",1975,2766,1.87581363416382e-06,276.6
"eelpouts",1975,NA,1.87581363416382e-06,NA
"deep_demersals",1975,NA,1.87581363416382e-06,NA
"pac_ocean_perch",1975,NA,1.87581363416382e-06,NA
"oth_rockfish",1975,NA,1.87581363416382e-06,NA
"north_rockfish",1975,NA,1.87581363416382e-06,NA
"shortraker_rock",1975,NA,1.87581363416382e-06,NA
"rougheye_rock",1975,NA,1.87581363416382e-06,NA
"atka",1975,NA,1.87581363416382e-06,NA
"shallow_demersals",1975,NA,1.87581363416382e-06,NA
"lg_sculpins",1975,NA,1.87581363416382e-06,NA
"octopus",1975,NA,1.87581363416382e-06,NA
"squids",1975,NA,1.87581363416382e-06,NA
"salmon_returning",1975,NA,1.87581363416382e-06,NA
"salmon_smolts",1975,NA,1.87581363416382e-06,NA
"mycto_bathy",1975,NA,1.87581363416382e-06,NA
"capelin",1975,NA,1.87581363416382e-06,NA
"sandlance",1975,NA,1.87581363416382e-06,NA
"oth_forage",1975,NA,1.87581363416382e-06,NA
"bairdi",1975,25186,1.87581363416382e-06,2518.6
"king_crabs",1975,24385.2,1.87581363416382e-06,2438.52
"opilio",1975,NA,1.87581363416382e-06,NA
"pandalid",1975,NA,1.87581363416382e-06,NA
"ben_zooplankton",1975,NA,1.87581363416382e-06,NA
"snails_sea_stars",1975,NA,1.87581363416382e-06,NA
"herb_echinoderms",1975,NA,1.87581363416382e-06,NA
"misc_crabs",1975,NA,1.87581363416382e-06,NA
"structural_epifauna",1975,NA,1.87581363416382e-06,NA
"infauna",1975,NA,1.87581363416382e-06,NA
"jellyfish",1975,NA,1.87581363416382e-06,NA
"pel_zooplankton",1975,NA,1.87581363416382e-06,NA
"euphausiids",1975,NA,1.87581363416382e-06,NA
"copepods",1975,NA,1.87581363416382e-06,NA
"pelagic_microbes",1975,NA,1.87581363416382e-06,NA
"benthic_microbes",1975,NA,1.87581363416382e-06,NA
"lg_phytoplankton",1975,NA,1.87581363416382e-06,NA
"sm_phytoplankton",1975,NA,1.87581363416382e-06,NA
"discards_offal",1975,NA,1.87581363416382e-06,NA
"pelagic_detritus",1975,NA,1.87581363416382e-06,NA
"benthic_detritus",1975,NA,1.87581363416382e-06,NA
"outside",1976,NA,1.87581363416382e-06,NA
"transient_killers",1976,NA,1.87581363416382e-06,NA
"toothed_whales",1976,NA,1.87581363416382e-06,NA
"gray_whales",1976,NA,1.87581363416382e-06,NA
"baleen_whales",1976,NA,1.87581363416382e-06,NA
"pinnipeds",1976,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1976,NA,1.87581363416382e-06,NA
"nf_seal_juv",1976,NA,1.87581363416382e-06,NA
"nf_seal_adu",1976,NA,1.87581363416382e-06,NA
"ice_seals",1976,NA,1.87581363416382e-06,NA
"oth_birds",1976,NA,1.87581363416382e-06,NA
"murres_puffins",1976,NA,1.87581363416382e-06,NA
"kittiwakes",1976,NA,1.87581363416382e-06,NA
"auklets",1976,NA,1.87581363416382e-06,NA
"fulmars",1976,NA,1.87581363416382e-06,NA
"albatross",1976,NA,1.87581363416382e-06,NA
"sharks",1976,NA,1.87581363416382e-06,NA
"pollock_juv",1976,NA,1.87581363416382e-06,NA
"pollock_adu",1976,1177822,1.87581363416382e-06,117782.2
"pcod_juv",1976,NA,1.87581363416382e-06,NA
"pcod_adu",1976,50481,1.87581363416382e-06,5048.1
"herring",1976,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1976,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1976,NA,1.87581363416382e-06,NA
"kamchatka",1976,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1976,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1976,NA,1.87581363416382e-06,NA
"halibut_juv",1976,NA,1.87581363416382e-06,NA
"halibut_adu",1976,NA,1.87581363416382e-06,NA
"yf_sole",1976,56221,1.87581363416382e-06,5622.1
"fh_sole",1976,NA,1.87581363416382e-06,NA
"nr_sole",1976,NA,1.87581363416382e-06,NA
"ak_plaice",1976,NA,1.87581363416382e-06,NA
"oth_flatfish",1976,NA,1.87581363416382e-06,NA
"ak_skate",1976,NA,1.87581363416382e-06,NA
"oth_skate",1976,NA,1.87581363416382e-06,NA
"sablefish_juv",1976,NA,1.87581363416382e-06,NA
"sablefish_adu",1976,2923,1.87581363416382e-06,292.3
"eelpouts",1976,NA,1.87581363416382e-06,NA
"deep_demersals",1976,NA,1.87581363416382e-06,NA
"pac_ocean_perch",1976,NA,1.87581363416382e-06,NA
"oth_rockfish",1976,NA,1.87581363416382e-06,NA
"north_rockfish",1976,NA,1.87581363416382e-06,NA
"shortraker_rock",1976,NA,1.87581363416382e-06,NA
"rougheye_rock",1976,NA,1.87581363416382e-06,NA
"atka",1976,NA,1.87581363416382e-06,NA
"shallow_demersals",1976,NA,1.87581363416382e-06,NA
"lg_sculpins",1976,NA,1.87581363416382e-06,NA
"octopus",1976,NA,1.87581363416382e-06,NA
"squids",1976,NA,1.87581363416382e-06,NA
"salmon_returning",1976,NA,1.87581363416382e-06,NA
"salmon_smolts",1976,NA,1.87581363416382e-06,NA
"mycto_bathy",1976,NA,1.87581363416382e-06,NA
"capelin",1976,NA,1.87581363416382e-06,NA
"sandlance",1976,NA,1.87581363416382e-06,NA
"oth_forage",1976,NA,1.87581363416382e-06,NA
"bairdi",1976,33779.4,1.87581363416382e-06,3377.94
"king_crabs",1976,32675.4,1.87581363416382e-06,3267.54
"opilio",1976,NA,1.87581363416382e-06,NA
"pandalid",1976,NA,1.87581363416382e-06,NA
"ben_zooplankton",1976,NA,1.87581363416382e-06,NA
"snails_sea_stars",1976,NA,1.87581363416382e-06,NA
"herb_echinoderms",1976,NA,1.87581363416382e-06,NA
"misc_crabs",1976,NA,1.87581363416382e-06,NA
"structural_epifauna",1976,NA,1.87581363416382e-06,NA
"infauna",1976,NA,1.87581363416382e-06,NA
"jellyfish",1976,NA,1.87581363416382e-06,NA
"pel_zooplankton",1976,NA,1.87581363416382e-06,NA
"euphausiids",1976,NA,1.87581363416382e-06,NA
"copepods",1976,NA,1.87581363416382e-06,NA
"pelagic_microbes",1976,NA,1.87581363416382e-06,NA
"benthic_microbes",1976,NA,1.87581363416382e-06,NA
"lg_phytoplankton",1976,NA,1.87581363416382e-06,NA
"sm_phytoplankton",1976,NA,1.87581363416382e-06,NA
"discards_offal",1976,NA,1.87581363416382e-06,NA
"pelagic_detritus",1976,NA,1.87581363416382e-06,NA
"benthic_detritus",1976,NA,1.87581363416382e-06,NA
"outside",1977,NA,1.87581363416382e-06,NA
"transient_killers",1977,NA,1.87581363416382e-06,NA
"toothed_whales",1977,NA,1.87581363416382e-06,NA
"gray_whales",1977,NA,1.87581363416382e-06,NA
"baleen_whales",1977,NA,1.87581363416382e-06,NA
"pinnipeds",1977,NA,1.87581363416382e-06,NA
"walrus_bd_seals",1977,NA,1.87581363416382e-06,NA
"nf_seal_juv",1977,NA,1.87581363416382e-06,NA
"nf_seal_adu",1977,NA,1.87581363416382e-06,NA
"ice_seals",1977,NA,1.87581363416382e-06,NA
"oth_birds",1977,NA,1.87581363416382e-06,NA
"murres_puffins",1977,NA,1.87581363416382e-06,NA
"kittiwakes",1977,NA,1.87581363416382e-06,NA
"auklets",1977,NA,1.87581363416382e-06,NA
"fulmars",1977,NA,1.87581363416382e-06,NA
"albatross",1977,NA,1.87581363416382e-06,NA
"sharks",1977,NA,1.87581363416382e-06,NA
"pollock_juv",1977,NA,1.87581363416382e-06,NA
"pollock_adu",1977,978370,1.87581363416382e-06,97837
"pcod_juv",1977,NA,1.87581363416382e-06,NA
"pcod_adu",1977,33335,1.87581363416382e-06,3333.5
"herring",1977,NA,1.87581363416382e-06,NA
"arrowtooth_juv",1977,NA,1.87581363416382e-06,NA
"arrowtooth_adu",1977,NA,1.87581363416382e-06,NA
"kamchatka",1977,NA,1.87581363416382e-06,NA
"gr_turbot_juv",1977,NA,1.87581363416382e-06,NA
"gr_turbot_adu",1977,NA,1.87581363416382e-06,NA
"halibut_juv",1977,NA,1.87581363416382e-06,NA
"halibut_adu",1977,NA,1.87581363416382e-06,NA
"yf_sole",1977,58373,1.87581363416382e-06,5837.3
"fh_sole",1977,NA,1.87581363416382e-06,NA
"nr_sole",1977,NA,1.87581363416382e-06,NA
"ak_plaice",1977,NA,1.87581363416382e-06,NA
"oth_flatfish",1977,NA,1.87581363416382e-06,NA
"ak_skate",1977,NA,1.87581363416382e-06,NA
"oth_skate",1977,NA,1.87581363416382e-06,NA
