"Species","Period","Mean_F"
"piscivorous_surface_birds","F 2016-2020",0
"planktivorous_diving_birds","F 1991-2020",0
"planktivorous_diving_birds","F 2011-2020",0
"planktivorous_diving_birds","F 2016-2020",0
"planktivorous_surface_birds","F 1991-2020",0
"planktivorous_surface_birds","F 2011-2020",0
"planktivorous_surface_birds","F 2016-2020",0
"resident_killer_whales","F 1991-2020",0
"resident_killer_whales","F 2011-2020",0
"resident_killer_whales","F 2016-2020",0
"rex_sole_adult","F 1991-2020",0.04403992752827
"rex_sole_adult","F 2011-2020",0.050349216409091
"rex_sole_adult","F 2016-2020",0.0264100373075682
"rex_sole_juvenile","F 1991-2020",0
"rex_sole_juvenile","F 2011-2020",0
"rex_sole_juvenile","F 2016-2020",0
"sablefish_adult","F 1991-2020",0.0350728824705775
"sablefish_adult","F 2011-2020",0.0225780306910769
"sablefish_adult","F 2016-2020",0.0251693746731603
"sablefish_juvenile","F 1991-2020",0
"sablefish_juvenile","F 2011-2020",0
"sablefish_juvenile","F 2016-2020",0
"salmon_outgoing","F 1991-2020",0
"salmon_outgoing","F 2011-2020",0
"salmon_outgoing","F 2016-2020",0
"salmon_returning","F 1991-2020",0.243331130999598
"salmon_returning","F 2011-2020",0.208653721898656
"salmon_returning","F 2016-2020",0.190232064728502
"salmon_shark","F 1991-2020",0.00389189786023744
"salmon_shark","F 2011-2020",0.00876452650283134
"salmon_shark","F 2016-2020",0.00186230095234658
"sea_otter","F 1991-2020",9.52506023710998e-06
"sea_otter","F 2011-2020",9.52594709198883e-06
"sea_otter","F 2016-2020",9.52478006075899e-06
"sessile_epifauna","F 1991-2020",1.84481296999086e-07
"sessile_epifauna","F 2011-2020",1.84317521619815e-07
"sessile_epifauna","F 2016-2020",1.84827567014146e-07
"shallow_water_flatfish","F 1991-2020",0.00630293013217175
"shallow_water_flatfish","F 2011-2020",0.0046068914459332
"shallow_water_flatfish","F 2016-2020",0.00335582515881627
"shelf_demersal_fish","F 1991-2020",0.000470361480619382
"shelf_demersal_fish","F 2011-2020",0.00037401638777341
"shelf_demersal_fish","F 2016-2020",0.000241260421451062
"shelf_forage_fish","F 1991-2020",2.56996500699327e-05
"shelf_forage_fish","F 2011-2020",2.9029272922659e-05
"shelf_forage_fish","F 2016-2020",4.32893567612107e-05
"slope_demersal_fish","F 1991-2020",0.000201680063519645
"slope_demersal_fish","F 2011-2020",0.000143609762305694
"slope_demersal_fish","F 2016-2020",0.000143637443428283
"slope_forage_fish","F 1991-2020",0
"slope_forage_fish","F 2011-2020",0
"slope_forage_fish","F 2016-2020",0
"slope_rockfish","F 1991-2020",0.0169058710449137
"slope_rockfish","F 2011-2020",0.0149609146001833
"slope_rockfish","F 2016-2020",0.00950064809183202
"small_copepods","F 1991-2020",0
"small_copepods","F 2011-2020",0
"small_copepods","F 2016-2020",0
"small_microzooplankton","F 1991-2020",0
"small_microzooplankton","F 2011-2020",0
"small_microzooplankton","F 2016-2020",0
"small_phytoplankton","F 1991-2020",0
"small_phytoplankton","F 2011-2020",0
"small_phytoplankton","F 2016-2020",0
"squid","F 1991-2020",8.72882613684762e-05
"squid","F 2011-2020",9.87057493806252e-05
"squid","F 2016-2020",3.40745543140781e-05
"steller_sea_lion","F 1991-2020",0.00177530236270793
"steller_sea_lion","F 2011-2020",0.00177518402840731
"steller_sea_lion","F 2016-2020",0.00177458728020282
"tanner_crab","F 1991-2020",0.00225239944282825
"tanner_crab","F 2011-2020",0.00229733204531862
"tanner_crab","F 2016-2020",0.00297677373924331
"thornyheads","F 1991-2020",0.0235601501438515
"thornyheads","F 2011-2020",0.0194789583124903
"thornyheads","F 2016-2020",0.0165857061853132
"transient_killer_whales","F 1991-2020",0
"transient_killer_whales","F 2011-2020",0
"transient_killer_whales","F 2016-2020",0
"walleye_pollock_adult","F 1991-2020",0.020718455186369
"walleye_pollock_adult","F 2011-2020",0.0336522159129459
"walleye_pollock_adult","F 2016-2020",0.0399704883624236
"walleye_pollock_juvenile","F 1991-2020",0
"walleye_pollock_juvenile","F 2011-2020",0
"walleye_pollock_juvenile","F 2016-2020",0
